INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719410962.1988437,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.19,398.74,995.28,1528.55,0.00,0.00;0.00
0.69,399.46,994.54,1527.82,41.37,43.94;38.81
1.19,399.46,994.54,1527.82,15.00,16.00;14.00
1.69,399.46,994.54,1527.82,1.00,0.00;2.00
2.19,399.46,994.54,1527.82,1.92,3.85;0.00
2.69,399.46,994.54,1527.82,0.00,0.00;0.00
3.19,399.46,994.54,1527.82,1.00,2.00;0.00
3.69,399.46,994.54,1527.82,1.96,0.00;3.92
4.19,399.46,994.54,1527.82,0.00,0.00;0.00
4.69,399.46,994.54,1527.82,1.96,3.92;0.00
5.19,399.46,994.54,1527.82,2.00,2.00;2.00
5.69,399.46,994.54,1527.82,2.00,2.00;2.00
6.19,399.46,994.54,1527.82,6.92,6.00;7.84
6.69,399.45,994.54,1527.84,3.92,5.88;1.96
7.19,399.45,994.54,1527.84,0.00,0.00;0.00
7.69,399.45,994.54,1527.84,2.96,3.92;2.00
8.19,399.45,994.54,1527.84,2.96,3.92;2.00
8.69,399.45,994.54,1527.84,0.00,0.00;0.00
9.19,399.45,994.54,1527.84,8.96,14.00;3.92
9.69,399.45,994.54,1527.84,2.98,1.96;4.00
10.19,399.45,994.54,1527.84,1.00,2.00;0.00
10.69,399.00,995.00,1528.29,22.20,24.00;20.41
11.19,408.07,985.93,1519.21,64.61,61.22;68.00
11.69,411.21,982.73,1516.07,46.20,46.94;45.45
12.19,439.14,954.84,1488.14,40.62,6.25;75.00
12.69,447.54,946.46,1479.75,23.18,28.00;18.37
13.19,447.54,946.46,1479.75,47.92,50.00;45.83
13.69,447.54,946.46,1479.75,49.00,48.98;49.02
14.19,447.54,946.46,1479.75,51.00,50.98;51.02
14.69,447.54,946.46,1479.75,50.00,50.00;50.00
15.19,447.54,946.46,1479.75,48.00,46.00;50.00
15.69,447.54,946.46,1479.75,50.96,54.00;47.92
16.19,447.54,946.46,1479.75,47.96,47.92;48.00
16.69,447.54,946.46,1479.75,51.51,52.00;51.02
17.19,447.54,946.46,1479.75,50.00,50.00;50.00
17.69,447.53,946.46,1479.76,48.89,46.81;50.98
18.19,447.53,946.46,1479.76,52.04,52.00;52.08
18.69,447.53,946.46,1479.76,50.00,50.00;50.00
19.19,447.77,946.22,1479.51,52.45,50.00;54.90
19.69,447.77,946.22,1479.51,48.47,46.94;50.00
20.19,447.77,946.22,1479.51,53.51,56.00;51.02
20.69,447.77,946.22,1479.51,47.43,46.94;47.92
21.19,447.77,946.22,1479.51,50.00,48.98;51.02
21.69,448.02,945.97,1479.27,50.51,50.00;51.02
22.19,448.02,945.97,1479.27,52.00,54.00;50.00
22.69,448.01,945.97,1479.27,48.92,52.00;45.83
23.19,448.01,945.97,1479.27,47.96,48.00;47.92
23.69,448.01,945.97,1479.27,50.00,50.00;50.00
24.19,448.01,945.97,1479.27,50.00,50.00;50.00
24.69,448.01,945.97,1479.27,48.98,48.98;48.98
25.19,448.01,945.97,1479.27,48.96,50.00;47.92
25.69,448.01,945.97,1479.27,48.00,48.00;48.00
26.19,448.01,945.97,1479.27,49.47,51.02;47.92
26.69,448.01,945.97,1479.27,51.47,51.02;51.92
27.19,448.01,945.97,1479.27,52.57,53.06;52.08
27.69,448.01,945.97,1479.27,49.98,48.98;50.98
28.19,448.00,945.97,1479.28,50.49,50.98;50.00
28.69,448.00,945.97,1479.28,51.00,50.00;52.00
29.19,448.25,945.73,1479.04,49.49,48.98;50.00
29.69,448.25,945.73,1479.04,50.00,51.02;48.98
30.19,448.25,945.73,1479.04,48.00,50.00;46.00
30.69,448.25,945.73,1479.04,50.49,52.00;48.98
31.19,448.25,945.73,1479.04,48.00,48.00;48.00
31.69,448.25,945.73,1479.04,57.57,57.14;58.00
32.19,400.04,993.94,1527.25,54.92,64.00;45.83
32.69,399.80,994.18,1527.48,23.38,18.75;28.00
33.19,399.80,994.18,1527.48,2.00,2.00;2.00
33.69,399.80,994.18,1527.48,1.00,0.00;2.00
34.19,399.80,994.18,1527.48,1.96,0.00;3.92
34.69,399.80,994.18,1527.48,2.00,2.00;2.00
35.19,399.80,994.18,1527.48,1.00,2.00;0.00
35.69,399.80,994.18,1527.48,1.98,1.96;2.00
36.19,399.80,994.18,1527.48,2.96,3.92;2.00
36.69,399.80,994.18,1527.48,1.00,0.00;2.00
37.19,399.80,994.18,1527.48,1.00,2.00;0.00
37.69,399.80,994.18,1527.48,1.00,0.00;2.00
38.19,399.80,994.18,1527.48,1.00,2.00;0.00
38.69,399.80,994.18,1527.48,3.92,3.92;3.92
39.19,399.80,994.18,1527.48,5.00,6.00;4.00
39.69,399.80,994.18,1527.48,2.88,0.00;5.77
40.19,399.80,994.18,1527.48,3.92,3.92;3.92
40.69,399.80,994.18,1527.48,1.00,0.00;2.00
41.19,399.80,994.18,1527.48,0.00,0.00;0.00
41.69,399.79,994.18,1527.49,2.00,2.00;2.00
42.19,399.79,994.18,1527.49,1.00,0.00;2.00
42.69,399.08,994.88,1528.21,32.20,34.62;29.79
43.19,398.55,995.41,1528.73,51.12,57.14;45.10
